date,open,high,low,close,volume
2018-01-26,1049.92,1075.9,984.0,1051.81,39359.62218118
2018-01-27,1051.92,1126.01,1034.45,1115.51,29317.95416435
2018-01-28,1115.15,1240.0,1099.76,1229.41,29175.41570382
2018-01-29,1229.97,1239.0,1141.0,1168.0,40475.91316314
2018-01-30,1168.0,1172.0,1025.77,1051.54,61847.15177457
2018-01-31,1054.55,1118.88,1010.77,1110.14,34149.46526721
2018-02-01,1110.14,1152.05,936.0,1022.08,92033.54931148
2018-02-02,1020.16,1020.16,731.0,918.39,184904.2375942
2018-02-03,918.38,995.0,838.67,969.93,27592.48525909
2018-02-04,969.96,969.96,782.0,826.51,37124.17772738
2018-02-05,825.13,855.0,632.0,692.36,128779.91437638
2018-02-06,692.38,808.0,565.0,784.01,157935.74997721
2018-02-07,788.13,866.05,720.01,752.89,75081.12515266
2018-02-08,753.95,846.28,748.42,812.01,40467.31905615
2018-02-09,814.32,883.07,780.88,875.1,40273.37266013
2018-02-10,879.86,913.3,815.0,851.83,32319.24474698
2018-02-11,851.84,855.19,775.99,809.69,25362.85834689
2018-02-12,811.0,877.95,808.52,865.57,23687.08996852
2018-02-13,866.86,869.14,819.31,841.82,24840.28203477
2018-02-14,841.82,924.52,839.75,922.98,43648.22139283
2018-02-15,922.98,951.25,905.0,927.91,41358.45209566
2018-02-16,927.5,947.87,908.0,940.0,23773.48259549
2018-02-17,940.87,980.0,935.25,977.74,20558.71352157
2018-02-18,977.55,983.31,905.52,912.85,28492.25011204
2018-02-19,913.42,955.58,906.0,938.05,14832.72496155
2018-02-20,939.28,958.74,874.0,884.24,25435.7651672
2018-02-21,884.25,906.09,816.0,837.98,34498.7100109
2018-02-22,840.07,871.81,789.99,803.57,26905.04775256
2018-02-23,805.08,883.44,787.0,851.98,20669.20061454
2018-02-24,852.5,878.0,809.01,835.74,11028.28615971
2018-02-25,835.74,851.38,818.38,842.65,8988.89175788
2018-02-26,842.82,880.0,834.77,868.4,15603.01471496
2018-02-27,868.46,896.0,861.0,870.32,14062.01044208
2018-02-28,870.32,889.85,848.46,850.16,15701.07118509
2018-03-01,851.92,881.47,845.81,869.01,16063.60146239
2018-03-02,869.02,875.17,847.93,856.08,7584.52267756
2018-03-03,856.33,868.7,849.0,853.76,5600.73438238
2018-03-04,853.74,866.43,837.17,862.28,5387.93325666
2018-03-05,864.06,869.21,848.0,848.0,8662.0750727
2018-03-06,848.0,850.99,802.55,813.09,18233.70688199
2018-03-07,813.08,825.61,723.13,750.42,41014.66545032
2018-03-08,750.11,773.12,686.5,698.06,32177.19834154
2018-03-09,698.06,732.31,640.55,726.13,53099.97795875
2018-03-10,726.22,750.0,676.21,682.87,14417.56859471
2018-03-11,681.07,737.14,662.48,720.38,17188.71184635
2018-03-12,720.45,740.7,676.0,695.5,25021.99173026
2018-03-13,696.16,715.0,680.0,690.01,27159.25072985
2018-03-14,690.99,703.51,584.0,613.07,38834.71600113
2018-03-15,612.0,620.0,571.56,611.02,44548.02980151
2018-03-16,611.97,625.51,583.4,599.87,30596.64676458
2018-03-17,598.56,610.0,542.75,550.1,21796.89056428
2018-03-18,550.1,561.52,453.01,538.0,79232.21946554
2018-03-19,538.0,559.0,515.47,555.68,50383.27337299
2018-03-20,555.52,567.49,515.38,557.41,41228.06969702
2018-03-21,557.49,590.69,545.0,560.52,42065.0195497
2018-03-22,559.8,578.58,517.45,540.12,29000.27740787
2018-03-23,538.56,543.2,506.0,543.03,26831.19056619
2018-03-24,543.1,545.55,518.66,519.99,16223.12245645
2018-03-25,519.99,535.68,512.59,521.99,13946.26421917
2018-03-26,522.98,525.55,466.72,485.79,46310.08502564
2018-03-27,485.4,492.09,445.08,449.41,51374.77451027
2018-03-28,449.89,465.85,440.0,446.49,22678.77835928
2018-03-29,446.6,448.5,378.86,383.07,78007.79044041
2018-03-30,383.14,411.41,362.0,393.46,92799.41264709
2018-03-31,393.85,419.7,387.85,393.79,37134.69014104
2018-04-01,393.58,399.78,358.4,378.0,40341.4561116
2018-04-02,378.06,395.0,375.02,384.47,20485.05431078
2018-04-03,384.86,419.08,380.0,415.32,31371.19291848
2018-04-04,415.34,417.5,370.49,378.99,31337.17766325
2018-04-05,377.26,387.49,366.95,381.05,20729.04746148
2018-04-06,381.04,385.62,360.0,370.08,18493.15152416
2018-04-07,369.44,397.4,368.99,384.66,16411.9803586
2018-04-08,384.94,410.0,384.14,400.23,11317.65828092
2018-04-09,400.07,431.36,386.19,399.0,26518.22407379
2018-04-10,399.36,418.3,391.28,415.65,25139.02556088
2018-04-11,415.34,433.46,411.0,430.0,21763.24759008
2018-04-12,430.0,498.0,413.8,494.31,48431.8565614
2018-04-13,494.0,529.36,481.67,495.95,57808.72981674
2018-04-14,496.07,515.91,486.0,503.41,18199.93290903
2018-04-15,503.14,535.0,503.14,533.83,29650.64692715
2018-04-16,533.86,537.43,498.34,510.57,28988.80985825
2018-04-17,511.26,521.36,500.54,502.8,22085.38840903
2018-04-18,502.51,526.66,501.28,525.2,23073.92878812
2018-04-19,524.32,569.0,520.2,566.46,31732.09135449
2018-04-20,566.66,622.26,556.37,617.7,52187.09367312
2018-04-21,616.41,624.75,573.58,604.85,36398.72934912
2018-04-22,604.85,643.46,591.31,621.5,30537.80430922
2018-04-23,620.45,648.24,618.56,643.77,24226.71423821
2018-04-24,643.68,711.7,643.68,703.71,54671.05933027
2018-04-25,703.32,704.01,595.0,617.02,112502.46041843
2018-04-26,617.61,666.0,598.15,660.95,49649.48314536
2018-04-27,661.04,685.0,636.15,642.54,29571.03844725
2018-04-28,642.57,697.08,639.05,683.38,24553.16567192
2018-04-29,683.69,699.97,666.0,689.23,22215.9477286
2018-04-30,689.38,694.14,663.0,669.98,23810.05539947
2018-05-01,670.1,674.01,627.22,669.86,36528.64307637
2018-05-02,670.98,690.05,661.03,687.29,27719.04017901
2018-05-03,687.0,785.0,684.89,776.92,54001.97551789
